x [nm],y [nm],z [nm],frame,uncertainty [nm],intensity [photon],offset [photon],loglikelihood
10562,19345,0,50,7.529,2866.6,280.33,95.211
11301,7189.3,0,50,5.766,3308.7,186.49,138.37
12208,6048,0,50,5.8105,3673.4,250.27,97.845
12637,14167,0,50,6.2305,3252.2,226.44,62.01
12817,10621,0,50,7.5002,2547.7,206.5,82.464
12818,10622,0,50,7.6846,2476.9,209.54,88.702
12960,5789.5,0,50,10.996,1806.5,256.04,80.949
16219,3448.7,0,50,2.5201,10920,289.78,625.3
16228,13086,0,50,2.9269,8412.2,237.29,73.045
17694,3551.6,0,50,5.316,3492.7,169.34,55.46
10535,19300,0,51,5.1603,4447.5,279.35,82.235
11299,7179.9,0,51,4.5004,4406.6,177.72,112.91
12209,6044.4,0,51,6.3142,3305.6,245.21,60.923
12634,14153,0,51,6.4415,3193.5,238.4,78.491
12830,10588,0,51,5.235,4018.8,230.05,67.978
14616,6156.7,0,51,5.9138,3203,187.55,98.529
15108,9850.4,0,51,9.6855,1933,205.04,116.24
16235,3439.7,0,51,2.5285,10567,264.46,413.34
16238,13072,0,51,2.9346,8209.1,222.41,61.75
17711,3539.3,0,51,4.4015,4488,177.44,86.911
10542,19314,0,52,7.6544,2758.5,266.61,80.654
11296,7194.4,0,52,3.7151,5628.5,179.78,130.86
12210,6052.2,0,52,7.6465,2500.1,213.22,87.032
12836,10624,0,52,5.7073,3549.7,216.71,65.361
13998,14363,0,52,6.0604,3267.2,211.36,11.268
14609,6165,0,52,5.6076,3340,177.73,92.184
16230,3449.8,0,52,2.6024,9810.9,238.22,336.81
16239,13083,0,52,2.8829,8649.1,241.74,112.72
17701,3549.9,0,52,4.3638,4448.1,168.47,75.344
10541,19290,0,53,6.8787,3138.7,267.98,83.099
11301,7199.8,0,53,5.2438,3588.1,171.59,105.08
12205,6049.8,0,53,6.9514,2704.3,197.69,106.63
12618,14154,0,53,8.8361,2126.2,214.12,77.059
12821,10599,0,53,7.4735,2490.2,193.91,86.903
13995,14373,0,53,6.0216,3263.9,206.76,83.697
15119,9871.2,0,53,8.3454,2278.6,202.59,50.388
15674,8875.8,0,53,7.6536,2339.1,181.57,104.17
16221,3449.3,0,53,2.4432,11149,272.8,750.22
16234,13072,0,53,3.044,7732.9,215.19,97.715
17697,3549.6,0,53,4.5424,4123.3,157.09,69.769
10549,19322,0,54,5.3116,4229.9,270.56,75.543
11304,7201.8,0,54,4.766,3918.7,158.92,129.46
12216,6062.1,0,54,6.3592,3004.3,197.85,127.79
12253,15437,0,54,8.6173,2248.9,224.81,112.01
12632,14160,0,54,5.4818,3749.5,221.76,98.709
12839,10608,0,54,5.9551,3263.6,192.02,103.27
14003,14365,0,54,5.7519,3403.1,200.84,128.88
15104,9867.6,0,54,8.9062,2050.6,186.99,112.84
15910,1853.5,0,54,4.5858,3838.2,131.19,64.229
16233,3448.4,0,54,2.439,11273,278.88,732.53
16245,13089,0,54,3.9102,5479.9,200.02,52.089
17693,3565.1,0,54,5.9641,2976.4,160.66,93.014
10560,19300,0,55,10.295,1871.5,234.96,88.274
11303,7194.1,0,55,4.7109,3895.6,149.87,98.912
11349,11344,0,55,8.3496,2092.3,177.6,87.72
12220,6066.8,0,55,6.5639,2846.4,189.67,90.637
12249,15409,0,55,6.3827,3169,223.13,112.03
12624,14160,0,55,6.7445,2947,223.15,88.647
14000,14370,0,55,3.5402,6146.7,196.15,70.136
15895,1860.3,0,55,6.4199,2496.7,126.77,79.961
16228,3441.9,0,55,2.355,11733,273.51,888.53
16246,13096,0,55,4.4317,4614.2,191.63,64.78
17701,3564.2,0,55,5.8639,3013.9,157.61,57.238
10554,19313,0,56,8.6873,2228,226.75,81.769
11295,7193.7,0,56,5.3164,3305.5,143.93,79.679
11346,11342,0,56,3.9074,5268.3,182.29,100.31
12209,6039.6,0,56,6.78,2668.5,178.13,88.983
12641,14144,0,56,4.4288,4807.8,216.74,88.859
14006,14362,0,56,4.5892,4420.8,194.84,47.589
15906,1852.9,0,56,6.2276,2559.1,122.74,63.678
16235,3438.4,0,56,2.5538,9792.7,218.49,294.85
16246,13086,0,56,4.9327,4109.8,200.21,67.547
17688,3550.8,0,56,6.7231,2515.6,150.68,82.327
10559,19310,0,57,4.6019,5142.8,288.28,109.53
10823,12083,0,57,6.0291,3042.7,175.02,64.577
11300,7197.7,0,57,4.543,4086.9,150.84,101.15
11345,11355,0,57,4.2716,4620.5,172.98,61.92
12220,6043.9,0,57,6.4302,2830.5,176.44,121.88
12248,15430,0,57,8.6058,2184.5,209.38,96.338
12640,14156,0,57,4.7327,4381,210.11,83.217
14005,14364,0,57,5.9052,3157,180.09,81.634
15910,1854.5,0,57,6.6936,2312.3,118.26,56.983
16237,3448.6,0,57,2.6464,8793.8,181.64,107.13
16245,13084,0,57,5.3651,3634.8,189.86,90.271
17709,3557.9,0,57,6.698,2509.4,148.48,87.79
11299,7185.4,0,58,4.8515,3718.7,145.15,98.185
11353,11339,0,58,3.3696,6338,179.41,86.823
12214,6065.5,0,58,7.2627,2417.5,170.06,92.861
12635,14143,0,58,3.6006,6383.8,232.37,110.41
15898,1840.9,0,58,6.9851,2185.3,116.9,78.783
16233,3447.2,0,58,2.7591,8051.2,164.66,107.4
17711,3542.1,0,58,7.3144,2235.1,144.09,87.386
10592,19312,0,59,8.4261,2280.8,221.78,93.383
11299,7205.2,0,59,4.646,3900.7,143.74,120.82
11350,11344,0,59,2.8925,7739.8,178.7,135.47
12218,6063.5,0,59,5.4292,3569.3,190.02,113.17
12629,14156,0,59,4.777,4327.1,209.51,113.96
16227,3446.9,0,59,2.8642,7537.9,157.39,105.56
17704,3560,0,59,4.2217,4415.3,147.25,75.525
10555,19326,0,60,9.7639,1951.2,226.02,73.261
11311,7204.5,0,60,4.7297,3754.7,138.22,111.16
11354,11342,0,60,2.6333,9091.5,198.94,197.57
11698,20995,0,60,2.9289,8098.7,210.45,105.44
12221,6047.7,0,60,5.6757,3326.3,182.07,92.81
12629,14146,0,60,7.2666,2548,193.7,62.972
13869,19685,0,60,7.9512,2325.1,196.94,67.312
15860,13609,0,60,7.5185,2428.3,187.8,112.43
16227,3453.8,0,60,3.0882,6844,159.83,124.23
17715,3559,0,60,6.7621,2436,141.8,71.122
10571,19308,0,61,5.2303,4171.3,250.45,139.11
11302,7185.4,0,61,5.5638,3088.8,139.37,117.8
11346,11338,0,61,3.7392,5280.1,156.45,91.63
11647,18369,0,61,4.6006,4380.9,192.24,59.093
11698,20995,0,61,3.859,5559.9,198.73,82.186
12211,6046.7,0,61,7.2978,2389.6,167.87,94.806
12639,14135,0,61,4.5903,4526.2,207.52,80.575
13859,19663,0,61,6.5914,2873.3,193.48,84.838
15896,1842,0,61,6.9502,2207.2,118.12,68.216
16224,3447.9,0,61,3.5893,5675.6,165.07,98.348
16851,12911,0,61,4.546,4718.5,220.54,103.09
10554,19308,0,62,5.2692,4164.5,254.18,81.596
11294,7188.5,0,62,7.5777,2078.6,131.11,41.552
11354,11326,0,62,4.4313,4248.7,155.85,54.657
11653,18365,0,62,5.4277,3515.5,183.39,73.818
12210,6066.3,0,62,7.777,2198.6,163.9,97.284
12635,14140,0,62,6.0382,3176.4,195.34,76.102
13861,19671,0,62,4.7237,4287.2,196.66,50.948
16221,3440.8,0,62,3.4286,5777.4,145.77,67.555
16851,12921,0,62,3.2954,7006.7,216.47,82.32
10559,19297,0,63,3.635,6898.7,292.35,109
11288,7198,0,63,4.9348,3586,139.41,71.091
11655,18374,0,63,4.5883,4375.4,190.05,71.133
12226,6059.7,0,63,7.4101,2328.7,164.23,101.93
12633,14144,0,63,4.5313,4541.2,200.85,105.74
16216,3426.5,0,63,3.1418,6492.4,145.46,81.834
16848,12910,0,63,3.6128,6170.7,209.51,91.621
10578,19309,0,64,3.5533,6942.6,277.37,130.61
11293,7184.4,0,64,3.7908,5081.9,143.38,113.55
11659,18371,0,64,3.2772,6761.3,195.18,45.117
12225,6035.1,0,64,8.4825,1997.4,165.65,85.447
12631,14156,0,64,6.0985,3091.3,187.9,56.875
16228,3419.7,0,64,2.6271,8442.9,153.32,85.908
16865,12911,0,64,4.0609,5247.7,201.27,106.73
10566,19296,0,65,3.6713,6638.9,272.97,120.77
11294,7184.3,0,65,5.4519,3124.2,133.95,83.466
11651,18363,0,65,2.9999,7391.2,180.18,79.221
12211,6012.9,0,65,8.1143,2173.7,176.4,159.24
12606,14130,0,65,8.1974,2177.6,184.91,104.46
16215,3416.5,0,65,2.5905,8859.4,168.87,163.8
16855,12895,0,65,6.056,3129.4,187.22,53.056
17686,3532,0,65,4.8525,3630.3,138.37,65.536
10546,19296,0,66,3.9237,6077.7,267.23,105.89
11639,18360,0,66,4.1386,4883.7,180.37,72.053
12208,6028.2,0,66,7.1298,2426.2,162.85,83.082
16210,3416.8,0,66,2.9535,7033.8,143.32,65.89
17694,3547.5,0,66,4.9009,3646.6,145.6,90.225
10576,19313,0,67,8.2248,2221.3,195.13,77.807
11288,7189.4,0,67,4.8784,3467.6,121.67,70.175
11652,18367,0,67,3.8799,5237.5,175.03,59.364
12216,6056.9,0,67,7.7705,2196.7,163.27,98.887
12616,14132,0,67,8.3394,2035.6,165.25,63.379
16221,3419.9,0,67,2.9003,7316.2,150.01,65.26
17701,3548.1,0,67,7.2664,2175.8,132.25,57.797
11284,7179.7,0,68,4.7059,3792.9,136.47,106.33
12199,6027,0,68,6.8735,2516.1,160.15,81.334
12638,14133,0,68,3.3129,6665.5,194.37,134.21
16225,3417.5,0,68,3.5234,5485,137.63,92.166
17694,3536.4,0,68,5.7471,2877.5,130.69,50.119
10551,19290,0,69,7.7316,2393.5,195.43,89.927
11291,7189.3,0,69,5.8437,2786.6,124.25,85.04
12208,6041.7,0,69,6.8319,2532.9,160.09,84.157
12635,14144,0,69,3.9612,5275.1,191.52,67.184
16219,3430,0,69,4.2844,4243.9,137.7,80.17
11294,7174,0,70,6.1233,2666.7,127.7,87.291
12633,14137,0,70,5.0478,3815.2,179.9,87.715
14604,6169.5,0,70,4.8275,3614.5,134.77,50.156
16230,3428.8,0,70,4.1388,4481.2,141.24,59.509
11219,14162,0,71,7.6477,2182.9,152.94,69.826
11289,7182.3,0,71,4.5159,3947.5,132.33,92.033
12637,14145,0,71,4.3912,4577.9,185.04,112.2
16227,3428.1,0,71,4.1039,4493.1,138.05,55.292
11291,7194.4,0,72,3.8088,4908.9,132.46,78.621
11357,11346,0,72,7.4675,2189.2,144.65,62.35
16225,3429.6,0,72,3.2921,6029.9,140.27,62.54
11289,7183.1,0,73,4.8775,3564.3,130.85,87.536
11358,11332,0,73,7.1331,2272.9,138.77,59.87
16216,3422.8,0,73,3.1071,6460.7,136.45,101.42
16849,12917,0,73,3.8865,5164.4,165.52,97.135
11290,7192.3,0,74,3.7326,5014.5,130.16,109.69
16222,3426.9,0,74,3.6375,5219.6,135.29,86.074
16857,12926,0,74,4.9683,3771.7,163.78,102.18
10921,18431,0,75,2.8938,7471.1,153.23,67.515
11295,7197.6,0,75,3.9412,4583.3,123.93,132.32
16231,3436.4,0,75,3.7549,4844.1,122.66,63.792
10934,18431,0,76,2.8054,7926.7,160.98,77.443
11293,7196.8,0,76,3.0817,6509,132.33,149.49
12645,14163,0,76,8.1167,2042.4,154.47,71.283
16216,3435.3,0,76,3.7587,4830.7,122.67,57.654
10926,18393,0,77,2.8125,7809.2,161.17,88.385
11292,7191.8,0,77,3.3739,5736.6,130.26,157.3
16229,3440.2,0,77,4.3601,4043.2,127.9,41.166
10926,18383,0,78,2.6661,8208.2,150.19,125.13
11295,7196.3,0,78,3.2055,6176.7,133,97.411
13856,19679,0,78,4.3902,4398.7,165.12,92.995
16229,3434.1,0,78,4.1847,4230.8,124.96,66.533
17701,10901,0,78,7.983,2106.8,159.7,40.962
10934,18429,0,79,2.7334,8037.3,150.35,113.5
11296,7182.5,0,79,2.6689,8179.4,144.84,171.05
13868,19672,0,79,6.8876,2555.4,165.31,58.77
16240,3439.9,0,79,5.0254,3315.4,121.12,58.692
10939,18416,0,80,3.8656,4935.8,141.6,79.428
