"frame","x [nm]","y [nm]","intensity [photons]","loglikelihood" 
1004,21908,9496.4,1976,-148.23
1009,22804,11691,1138.1,-172.06
1012,23792,11390,1667.5,-197.22
1018,24216,10634,1008.5,-224.86
1019,24199,10642,1002.3,-182.9
1021,24198,10662,1315.4,-213.34
1030,23795,11390,1161.6,-209.66
1047,18563,12393,1169.9,-172.15
1048,18610,12452,1934.2,-201.84
1050,23453,8658.3,1214.2,-181.51
1051,23458,8638.7,1398.1,-169.43
1052,23437,8668.1,1415.8,-175.76
1052,23816,11378,1090.3,-207.48
1070,23429,8619.5,3303.5,-287.63
1071,23427,8627.2,3218.7,-268.34
1072,23456,8635.8,3098.9,-227.75
1073,23452,8642.8,2092.2,-209.13
1074,18581,12478,1118.5,-197.66
1074,23464,8632.3,1260.3,-204.57
1075,18556,12471,1333,-213.51
1076,22288,9068.3,10527,-219.17
1077,22324,9054.6,8532,-214.52
1077,23423,8636.3,1269.7,-278.66
1078,18599,12483,1216.2,-202.45
1078,22284,9087.9,3970.2,-211.15
1079,18571,12446,1925.2,-205.81
1079,23451,8648.3,1819.7,-159.1
1083,23437,8631.2,1520.2,-174.27
1084,23447,8640.2,1299.4,-187.5
1093,18601,12464,1812,-208.08
1097,23815,11416,1459,-182.02
1103,23464,8632.1,1848.9,-198.24
1104,23418,8621.1,1472.2,-189.15
1105,23471,8628.8,1180,-207.94
1106,23465,8619.5,1474.2,-208.37
1107,23439,8604.1,1746.3,-178.56
1108,23435,8649.4,1230.5,-173.14
1110,23441,8676.2,1309.2,-161.13
1112,23792,11427,1390,-189.42
1113,23812,11412,2156.2,-197.08
1114,23477,8632.3,1826,-189.27
1114,23812,11402,1952.5,-198.41
1115,23467,8679.2,1762.9,-193.05
1115,23826,11428,2386.2,-182.02
1116,23415,8627.2,1650.7,-191.79
1117,23457,8622.2,1557,-156.79
1118,23426,8619,1961.9,-190.02
1119,23420,8618.9,2687.4,-183.23
