,x [nm],y [nm],z [nm],frame,uncertainty [nm],intensity [photon],offset [photon],loglikelihood,sigma [nm],dx,dy
0,10128.073160740962,83591.692271138,0,500,19.123,285.12,57.693999999999996,78.992,101.9,0.9268392590380126,-2.6922711380093767
1,16522.07316074096,68954.692271138,0,500,19.097,420.89,60.78,48.099,131.45,0.9268392590380126,-2.6922711380093767
2,25267.07316074096,42080.69227113801,0,500,11.793,702.16,63.747,120.17,122.38,0.9268392590380126,-2.6922711380093767
3,54973.07316074096,45734.69227113801,0,500,19.182000000000002,371.36,64.067,72.10600000000001,117.72,0.9268392590380126,-2.6922711380093767
4,10220.084938261263,83582.68122811675,0,501,23.179000000000002,321.09,57.711999999999996,40.562,126.66,0.9150617387373104,-2.6812281167537337
5,16544.08493826126,68938.68122811675,0,501,17.051,501.43,56.288999999999994,52.033,138.85,0.9150617387373104,-2.6812281167537337
6,25280.08493826126,42074.68122811675,0,501,11.912,628.69,65.318,91.387,113.32,0.9150617387373104,-2.6812281167537337
7,34831.084938261265,67971.68122811675,0,501,15.335999999999999,670.26,56.975,43.61600000000001,153.68,0.9150617387373104,-2.6812281167537337
8,47749.084938261265,66015.68122811675,0,501,20.279,414.61,59.713,41.133,136.2,0.9150617387373104,-2.6812281167537337
9,47847.084938261265,13793.681228116753,0,501,11.789000000000001,634.35,62.298,66.626,117.88,0.9150617387373104,-2.6812281167537337
10,69734.08493826127,29369.681228116755,0,501,22.429000000000002,385.51,56.806000000000004,47.027,139.92,0.9150617387373104,-2.6812281167537337
11,10177.096643541137,83623.67022008526,0,502,16.666,507.99,52.621,56.333999999999996,138.87,0.9033564588625089,-2.6702200852551856
12,16536.09664354114,68934.67022008526,0,502,19.878,353.42,60.812,47.473,120.45,0.9033564588625089,-2.6702200852551856
13,25273.09664354114,42114.67022008525,0,502,10.206,950.17,61.306000000000004,75.227,135.73,0.9033564588625089,-2.6702200852551856
14,34825.09664354114,67972.67022008526,0,502,13.543,839.19,51.983999999999995,78.758,165.4,0.9033564588625089,-2.6702200852551856
15,47739.09664354114,66043.67022008526,0,502,22.756999999999998,281.6,62.16,60.958999999999996,112.6,0.9033564588625089,-2.6702200852551856
16,54984.09664354114,45777.67022008525,0,502,21.791,316.47,63.891000000000005,70.916,115.72,0.9033564588625089,-2.6702200852551856
17,69711.09664354114,29423.670220085256,0,502,20.27,508.55,53.606,62.95399999999999,158.23,0.9033564588625089,-2.6702200852551856
18,16551.108276730254,68889.6592469937,0,503,15.311,466.12,58.68,70.332,120.4,0.8917232697445235,-2.6592469937085292
19,25285.108276730254,42103.65924699371,0,503,11.12,801.42,62.506,61.199,128.74,0.8917232697445235,-2.6592469937085292
20,34760.10827673026,67941.6592469937,0,503,16.605,622.41,56.705,39.116,155.79,0.8917232697445235,-2.6592469937085292
21,47741.10827673026,66061.6592469937,0,503,21.57,320.71,59.247,60.523,119.98,0.8917232697445235,-2.6592469937085292
22,16533.119837978287,68915.64830879231,0,504,17.927,567.71,57.12,36.108000000000004,155.77,0.8801620217142688,-2.648308792308563
23,25272.119837978287,42105.64830879231,0,504,13.387,619.15,65.403,54.729,123.0,0.8801620217142688,-2.648308792308563
24,34780.11983797829,67951.64830879231,0,504,16.727999999999998,668.61,59.102,40.63,162.24,0.8801620217142688,-2.648308792308563
25,55009.11983797829,45741.64830879231,0,504,20.250999999999998,303.11,63.5,58.022,107.21,0.8801620217142688,-2.648308792308563
26,16537.131327434898,68906.63740543125,0,505,17.747,509.56,57.167,55.328,144.0,0.8686725651026606,-2.6374054312500865
27,25280.131327434898,42077.63740543125,0,505,13.277000000000001,527.39,64.045,94.39200000000001,109.7,0.8686725651026606,-2.6374054312500865
28,34821.131327434894,67985.63740543125,0,505,17.434,661.98,57.059,61.946999999999996,166.84,0.8686725651026606,-2.6374054312500865
29,54955.131327434894,45742.63740543125,0,505,22.456,287.81,60.957,45.99,112.69,0.8686725651026606,-2.6374054312500865
30,16510.14274524976,68948.62653686073,0,506,17.723,513.12,56.496,57.053000000000004,144.6,0.8572547502406139,-2.6265368607278954
31,25289.14274524976,42076.62653686073,0,506,12.302999999999999,656.54,63.773,93.35700000000001,121.12,0.8572547502406139,-2.6265368607278954
32,34820.14274524976,67949.62653686073,0,506,20.031,356.7,61.371,40.868,121.21,0.8572547502406139,-2.6265368607278954
33,47746.14274524976,66004.62653686073,0,506,19.755,429.24,59.475,52.849,136.94,0.8572547502406139,-2.6265368607278954
34,54991.14274524976,45768.62653686073,0,506,16.55,424.76,60.183,77.395,117.24,0.8572547502406139,-2.6265368607278954
35,25268.15409157254,42085.61570303093,0,507,8.3786,1005.8,63.424,98.208,118.49,0.8459084274590443,-2.6157030309367917
36,34834.15409157254,67971.61570303094,0,507,17.328,687.93,54.989,52.222,170.8,0.8459084274590443,-2.6157030309367917
37,47720.15409157254,66021.61570303094,0,507,20.724,354.9,59.324,53.547,124.69,0.8459084274590443,-2.6157030309367917
38,16537.165366552912,68971.60490389208,0,508,19.785,446.95,57.748000000000005,65.125,142.36,0.8346334470888663,-2.6049038920715692
39,25288.165366552912,42106.60490389207,0,508,13.734000000000002,604.81,63.79600000000001,50.413999999999994,124.56,0.8346334470888663,-2.6049038920715692
40,34815.16536655291,67957.60490389208,0,508,17.554000000000002,607.76,60.18,50.111000000000004,157.15,0.8346334470888663,-2.6049038920715692
41,47679.16536655291,66005.60490389208,0,508,20.378,321.74,62.283,56.096000000000004,113.71,0.8346334470888663,-2.6049038920715692
42,54993.16536655291,45743.60490389207,0,508,15.194,392.68,60.894,72.204,104.11,0.8346334470888663,-2.6049038920715692
43,64179.16536655291,83109.60490389208,0,508,15.735999999999999,528.14,55.446999999999996,42.294,135.48,0.8346334470888663,-2.6049038920715692
44,16549.17657034054,68976.59413939432,0,509,16.41,685.27,54.43600000000001,59.667,164.13,0.8234296594609956,-2.59413939432703
45,25241.17657034054,42108.59413939433,0,509,14.593,568.35,64.721,52.038999999999994,124.65,0.8234296594609956,-2.59413939432703
46,34811.17657034054,67952.59413939432,0,509,19.427,584.01,60.298,61.901,164.54,0.8234296594609956,-2.59413939432703
47,47831.17657034054,13788.594139394327,0,509,16.104,420.33,56.622,75.764,116.32,0.8234296594609956,-2.59413939432703
48,54999.17657034054,45708.59413939433,0,509,17.699,321.92,62.302,63.67100000000001,101.97,0.8234296594609956,-2.59413939432703
49,16538.187703085092,68917.5834094879,0,510,22.6,368.37,61.213,54.04600000000001,135.95,0.8122969149063474,-2.5834094878979705
50,25266.187703085092,42070.583409487896,0,510,13.630999999999998,836.63,58.06399999999999,58.872,159.05,0.8122969149063474,-2.5834094878979705
51,47731.187703085096,66020.5834094879,0,510,21.456,437.73,59.928000000000004,83.887,147.02,0.8122969149063474,-2.5834094878979705
52,3675.098764936244,85205.57271412297,0,511,17.438,360.37,54.121,79.43,113.68,0.8012350637558369,-2.57271412297919
53,16554.198764936245,68933.57271412297,0,511,19.114,480.82,57.756,36.091,145.85,0.8012350637558369,-2.57271412297919
54,25260.198764936245,42062.57271412298,0,511,13.904000000000002,549.29,63.119,71.152,118.1,0.8012350637558369,-2.57271412297919
55,34843.19876493624,67967.57271412297,0,511,18.666,445.33,58.152,78.265,135.39,0.8012350637558369,-2.57271412297919
56,34846.19876493624,67967.57271412297,0,511,19.857,410.19,59.278999999999996,75.928,133.6,0.8012350637558369,-2.57271412297919
57,47773.19876493624,66038.57271412297,0,511,18.675,408.86,61.461999999999996,45.198,125.7,0.8012350637558369,-2.57271412297919
58,47826.19876493624,13799.57271412298,0,511,13.197000000000001,738.68,58.232,45.994,145.08,0.8012350637558369,-2.57271412297919
59,54982.19876493624,45735.57271412298,0,511,19.175,455.16,62.803999999999995,48.613,135.75,0.8012350637558369,-2.57271412297919
60,25282.20975604366,42086.56205324976,0,512,13.515999999999998,696.77,62.659,61.09,136.91,0.7902439563403791,-2.562053249765485
61,34759.20975604366,67932.56205324977,0,512,19.482,432.42,60.034,60.272,135.95,0.7902439563403791,-2.562053249765485
62,47741.20975604366,65991.56205324977,0,512,17.658,655.88,55.328,56.621,169.81,0.7902439563403791,-2.562053249765485
63,47824.20975604366,13807.562053249765,0,512,15.067,557.02,59.17,64.75,132.27,0.7902439563403791,-2.562053249765485
64,54969.20975604366,45742.56205324976,0,512,18.637999999999998,413.32,62.739,61.58,124.52,0.7902439563403791,-2.562053249765485
