,frame,intensity [photon],loglikelihood,offset [photon],sigma [nm],uncertainty [nm],x [nm],y [nm],z [nm],dx [nm],dy [nm]
0,100,4731.4,173.19,137.54,129.69,3.2954,10421.0,42352.0,0,0.0,0.0
1,100,3894.2,117.16,120.19,131.74,3.7444,13249.0,6346.8,0,0.0,0.0
2,100,2610.1,83.023,120.18,132.8,5.1625,15454.0,18298.0,0,0.0,0.0
3,100,4467.2,66.797,130.14,146.54,3.9291,17631.0,32004.0,0,0.0,0.0
4,100,2681.3,73.211,129.55,152.49,6.1885,21877.0,43271.0,0,0.0,0.0
5,100,1585.9,140.52,125.7,113.35,6.4503,27085.0,23293.0,0,0.0,0.0
6,100,4232.4,112.86,143.02,146.92,4.1982,31544.0,42839.0,0,0.0,0.0
7,100,4173.1,103.37,128.79,141.51,3.9462,46279.0,6888.6,0,0.0,0.0
8,101,2990.4,261.04,115.09,116.2,3.9085,5775.509173688535,466.0616960398396,0,0.09082631146520725,0.0483039601604105
9,101,3943.0,171.15,133.42,128.37,3.7076,10420.909173688535,42343.95169603984,0,0.09082631146520725,0.0483039601604105
10,101,2907.4,135.98,125.13,131.86,4.7574,15080.909173688535,32596.95169603984,0,0.09082631146520725,0.0483039601604105
11,101,3401.0,181.87,129.6,125.08,3.9811,15453.909173688535,18298.95169603984,0,0.09082631146520725,0.0483039601604105
12,101,1887.5,68.972,121.37,136.98,7.1339999999999995,16911.909173688535,29109.95169603984,0,0.09082631146520725,0.0483039601604105
13,101,7527.6,263.96,149.78,133.25,2.4605,16990.909173688535,26793.95169603984,0,0.09082631146520725,0.0483039601604105
14,101,4523.6,125.86,131.56,133.61,3.5002,17612.909173688535,32016.95169603984,0,0.09082631146520725,0.0483039601604105
15,101,4421.3,128.72,122.82,131.61,3.4342,18316.909173688535,2584.3516960398397,0,0.09082631146520725,0.0483039601604105
16,101,2733.7,120.94,129.19,154.62,6.1884,20987.909173688535,23457.95169603984,0,0.09082631146520725,0.0483039601604105
17,101,3297.8,90.228,124.92,164.98,5.7485,21872.909173688535,43271.95169603984,0,0.09082631146520725,0.0483039601604105
18,101,1707.6,90.586,120.08,126.61,6.8844,27078.909173688535,23279.95169603984,0,0.09082631146520725,0.0483039601604105
19,101,4603.7,121.91,142.4,144.53,3.8498,31545.909173688535,42842.95169603984,0,0.09082631146520725,0.0483039601604105
20,101,4103.3,78.77,122.38,144.33,4.0436,46282.90917368853,6887.95169603984,0,0.09082631146520725,0.0483039601604105
21,102,1878.7,139.28,113.99,120.47,5.8871,5772.418612768468,466.57394239429954,0,0.18138723153242609,0.09605760570048005
22,102,5280.0,129.02,134.1,133.31,3.1075,15111.818612768468,32583.9039423943,0,0.18138723153242609,0.09605760570048005
23,102,2253.8,100.75,118.22,132.2,5.747999999999999,15447.818612768468,18288.9039423943,0,0.18138723153242609,0.09605760570048005
24,102,6041.1,118.8,139.0,141.4,3.0323,16978.818612768468,26784.9039423943,0,0.18138723153242609,0.09605760570048005
25,102,1735.1,108.11,125.67,124.79,6.8547,16910.818612768468,29100.9039423943,0,0.18138723153242609,0.09605760570048005
26,102,5190.1,129.4,129.3,135.58,3.1955,17617.818612768468,32006.9039423943,0,0.18138723153242609,0.09605760570048005
27,102,5079.6,254.42,129.13,125.45,2.9653,18323.818612768468,2584.4039423942995,0,0.18138723153242609,0.09605760570048005
28,102,2172.9,50.983999999999995,128.21,148.73,7.1003,20994.818612768468,23463.9039423943,0,0.18138723153242609,0.09605760570048005
29,102,2772.5,70.705,125.29,155.35,6.0939,21857.818612768468,43276.9039423943,0,0.18138723153242609,0.09605760570048005
30,102,1742.0,120.64,124.38,119.23,6.3399,27087.818612768468,23288.9039423943,0,0.18138723153242609,0.09605760570048005
31,102,4455.5,94.01100000000001,138.65,146.85,4.0011,31552.818612768468,42833.9039423943,0,0.18138723153242609,0.09605760570048005
32,102,3694.9,69.43,121.41,152.01,4.6496,46287.81861276847,6895.303942394299,0,0.18138723153242609,0.09605760570048005
33,103,1482.9,144.45,113.17,111.39,6.4696,5768.428316772682,465.65673718305044,0,0.2716832273181353,0.14326281694957288
34,103,3520.6,103.05,131.83,141.07,4.5197,10412.728316772682,42342.85673718305,0,0.2716832273181353,0.14326281694957288
35,103,5136.2,165.21,134.17,133.46,3.1785,15126.728316772682,32570.85673718305,0,0.2716832273181353,0.14326281694957288
36,103,3192.3,40.708,119.57,148.96,5.0656,15445.728316772682,18295.85673718305,0,0.2716832273181353,0.14326281694957288
37,103,5073.3,134.2,137.39,138.5,3.362,16980.728316772682,26792.85673718305,0,0.2716832273181353,0.14326281694957288
38,103,1629.1,107.26,126.51,123.27,7.1202,16912.728316772682,29086.85673718305,0,0.2716832273181353,0.14326281694957288
39,103,3834.5,166.56,138.09,127.74,3.8173,17634.728316772682,32015.85673718305,0,0.2716832273181353,0.14326281694957288
40,103,5390.2,141.5,126.97,134.42,3.0615,18323.728316772682,2583.9567371830503,0,0.2716832273181353,0.14326281694957288
41,103,2592.4,62.988,132.72,140.72,5.7754,21875.728316772682,43279.85673718305,0,0.2716832273181353,0.14326281694957288
42,103,1572.9,83.85600000000001,117.63,128.12,7.4267,25806.728316772682,18067.85673718305,0,0.2716832273181353,0.14326281694957288
43,103,1584.4,118.67,125.8,117.05,6.7295,27081.728316772682,23283.85673718305,0,0.2716832273181353,0.14326281694957288
44,103,4262.5,87.684,141.01,148.31,4.2128,31551.728316772682,42829.85673718305,0,0.2716832273181353,0.14326281694957288
45,103,8358.5,432.47,155.02,127.34,2.1985,35466.728316772686,29391.85673718305,0,0.2716832273181353,0.14326281694957288
46,103,3667.5,116.81,131.47,139.36,4.2987,46286.728316772686,6902.456737183051,0,0.2716832273181353,0.14326281694957288
47,104,1836.4,151.05,110.87,114.9,5.6041,5769.038285234039,460.58007852576657,0,0.36171476596064167,0.1899214742334152
48,104,5258.6,107.25,132.1,139.4,3.279,10405.63828523404,42354.81007852577,0,0.36171476596064167,0.1899214742334152
49,104,6968.9,219.66,142.96,132.18,2.5519,15125.63828523404,32584.810078525767,0,0.36171476596064167,0.1899214742334152
50,104,3040.3,100.62,118.21,133.8,4.5976,15460.63828523404,18297.810078525767,0,0.36171476596064167,0.1899214742334152
51,104,1980.3,110.62,122.85,136.53,6.851,16912.63828523404,29110.810078525767,0,0.36171476596064167,0.1899214742334152
52,104,5051.3,122.03,134.92,138.93,3.3683,16969.63828523404,26773.810078525767,0,0.36171476596064167,0.1899214742334152
53,104,4478.9,227.55,127.03,123.31,3.1776,18316.63828523404,2584.6100785257668,0,0.36171476596064167,0.1899214742334152
54,104,2705.7,78.09,128.81,148.62,5.9251,21865.63828523404,43283.81007852577,0,0.36171476596064167,0.1899214742334152
55,104,1626.9,126.85,116.54,124.17,6.9149,25801.63828523404,18064.810078525767,0,0.36171476596064167,0.1899214742334152
56,104,1923.6,124.94,124.69,123.8,6.132999999999999,27073.63828523404,23284.810078525767,0,0.36171476596064167,0.1899214742334152
57,104,4500.6,102.78,135.32,149.37,4.0252,31553.63828523404,42837.81007852577,0,0.36171476596064167,0.1899214742334152
58,104,3053.4,116.69,126.3,143.79,5.1134,46271.63828523404,6899.210078525766,0,0.36171476596064167,0.1899214742334152
