,x [nm],y [nm],z [nm],frame,uncertainty [nm],intensity [photon],offset [photon],loglikelihood,sigma [nm],dx [nm],dy [nm]
0,5493.0,23616.0,0,100,5.3639,2998.3,144.51,179.35,143.23,0.0,0.0
1,8949.6,18605.0,0,100,6.7267,2306.2,127.8,67.021,148.87,0.0,0.0
2,10556.0,1093.2,0,100,7.4808,2420.9,119.73,39.223,164.5,0.0,0.0
3,11816.0,21710.0,0,100,3.057,7134.9,144.82,316.01,156.59,0.0,0.0
4,18529.0,31087.0,0,100,5.4813,2801.6,134.6,117.81,141.39,0.0,0.0
5,20791.0,42406.0,0,100,6.2105,2753.4,147.12,140.85,150.55,0.0,0.0
6,23934.0,7824.4,0,100,4.8536,3950.0,136.6,143.46,158.8,0.0,0.0
7,24817.0,32295.0,0,100,6.8249,2216.0,129.96,111.51,145.79,0.0,0.0
8,26150.0,6936.4,0,100,4.0942,3986.1,128.06,126.33,142.09,0.0,0.0
9,27350.0,683.43,0,100,4.3933,3457.6,134.72,105.9,135.39,0.0,0.0
10,33450.0,2483.7,0,100,4.245,3387.5,130.33,170.49,130.81,0.0,0.0
11,33411.0,36002.0,0,100,4.3358,3595.6,128.27,150.54,138.87,0.0,0.0
12,33856.0,42575.0,0,100,6.1492,2745.6,129.68,79.721,151.31,0.0,0.0
13,44742.0,11687.0,0,100,5.0973,2647.4,126.23,150.51,131.07,0.0,0.0
14,45504.0,24950.0,0,100,7.3133,1560.2,121.49,121.73,124.41,0.0,0.0
15,48516.0,15006.0,0,100,5.4902,2505.1,116.72,88.559,136.89,0.0,0.0
16,5482.820535137171,23619.019323658944,0,101,5.638999999999999,3161.2,133.4,155.54,157.1,0.07946486282889964,-0.019323658943903865
17,10553.920535137171,1094.1193236589438,0,101,6.9126,2303.8,125.96,80.827,148.51,0.07946486282889964,-0.019323658943903865
18,11819.920535137171,21717.019323658944,0,101,3.1732,6509.9,154.93,325.55,150.31,0.07946486282889964,-0.019323658943903865
19,20827.92053513717,42376.01932365894,0,101,6.2087,3565.1,144.04,328.18,177.29,0.07946486282889964,-0.019323658943903865
20,23920.92053513717,7849.319323658944,0,101,4.6426,3675.4,141.1,158.5,145.8,0.07946486282889964,-0.019323658943903865
21,26148.92053513717,6944.619323658944,0,101,5.0436,3267.9,115.32,84.454,151.98,0.07946486282889964,-0.019323658943903865
22,27361.92053513717,656.0193236589439,0,101,6.0602,2151.6,134.45,132.21,129.38,0.07946486282889964,-0.019323658943903865
23,33449.92053513717,2488.619323658944,0,101,4.0471,3383.3,131.51,208.98,125.48,0.07946486282889964,-0.019323658943903865
24,33419.92053513717,35993.01932365894,0,101,3.9107,3870.7,147.37,244.62,129.85,0.07946486282889964,-0.019323658943903865
25,44736.92053513717,11701.019323658944,0,101,4.5949,3399.9,119.19,109.38,143.34,0.07946486282889964,-0.019323658943903865
26,48521.92053513717,14982.019323658944,0,101,4.9174,2793.3,120.64,111.87,133.23,0.07946486282889964,-0.019323658943903865
27,5493.141219840488,23605.038515454384,0,102,4.6688,3627.8,145.84,185.6,144.47,0.15878015951238922,-0.03851545438192261
28,8945.341219840488,18616.038515454384,0,102,7.1512,1812.5,123.7,77.55,134.51,0.15878015951238922,-0.03851545438192261
29,10551.841219840488,1083.438515454382,0,102,7.2125,2125.1,120.52,41.345,147.46,0.15878015951238922,-0.03851545438192261
30,11805.841219840488,21714.038515454384,0,102,3.1816,6862.5,157.77,289.69,155.51,0.15878015951238922,-0.03851545438192261
31,20829.841219840488,42365.038515454384,0,102,6.7556,2722.0,156.38,237.08,158.05,0.15878015951238922,-0.03851545438192261
32,23926.841219840488,7837.738515454382,0,102,5.0354,3657.9,149.16,173.95,152.93,0.15878015951238922,-0.03851545438192261
33,24823.841219840488,32267.038515454384,0,102,5.6899,2604.6,130.22,144.11,140.31,0.15878015951238922,-0.03851545438192261
